S.NO,Timestamp,Distance(cm),status
1,1/1/2023 11:00,50,Occupied
2,1/1/2023 11:10,233,Vacant
3,1/1/2023 11:30,315,Vacant
4,1/1/2023 12:00,233,Vacant
5,1/1/2023 12:00,108,Vacant
6,1/1/2023 12:00,50,Occupied
7,1/1/2023 12:00,344,Vacant
8,1/1/2023 12:00,400,Vacant
9,1/1/2023 12:00,112,Vacant
10,1/1/2023 12:00,50,Occupied
11,1/1/2023 12:00,50,Occupied
12,1/1/2023 12:00,124,Vacant
13,1/1/2023 12:00,50,Occupied
14,1/1/2023 12:00,222,Vacant
15,1/1/2023 12:00,50,Occupied
16,1/1/2023 12:00,312,Vacant
17,1/1/2023 12:00,50,Occupied
18,1/1/2023 12:00,200,Vacant
19,1/1/2023 12:00,50,Occupied
20,1/1/2023 12:00,213,Vacant
21,1/1/2023 12:00,50,Occupied
22,1/1/2023 12:00,200,Vacant
23,1/1/2023 12:00,400,Vacant
24,1/1/2023 12:00,253,Vacant
25,1/1/2023 12:00,50,Occupied
26,1/1/2023 12:00,123,Vacant
27,1/1/2023 12:00,50,Occupied
28,1/1/2023 12:00,105,Vacant
29,1/1/2023 12:00,50,Occupied
30,1/1/2023 12:00,100,Vacant
